bourough,median wage
brent,"£22,800"
barking and dagenham,"£23,500"
newham,"£24,000"
harrow,"£24,500"
hounslow,"£24,800"
enfield,"£25,100"
waltham forest,"£25,300"
ealing,"£25,400"
barnet,"£25,600"
haringey,"£25,700"
croydon,"£25,900"
hillingdon,"£25,900"
greenwich,"£26,300"
bexley,"£26,800"
lewisham,"£26,800"
redbridge,"£26,800"
sutton,"£27,000"
havering,"£27,600"
hackney,"£28,000"
southwark,"£28,000"
merton,"£28,600"
lambeth,"£28,700"
tower hamlets,"£28,800"
bromley,"£30,300"
hammersmith and fulham,"£30,300"
kingston upon thames,"£30,700"
islington,"£31,400"
richmond upon thames,"£31,600"
wandsworth,"£31,900"
camden,"£32,600"
kensington and chelsea,"£33,700"
westminster,"£35,400"
city of london,"£53,200"
london,"£27,300"
